Price,Area,No. of Bedrooms,Gymnasium,SwimmingPool,LandscapedGardens,IndoorGames,SportsFacility,ATM,ClubHouse,24X7Security,PowerBackup,CarParking,LiftAvailable,furnishing
8.836,1.24,2,0,0,0,0,0,0,0,1,0,0,1,0
10.2,1.45,3,0,0,0,0,0,0,0,1,0,0,1,0
8.528,1.192,2,0,0,0,0,0,0,0,1,0,0,1,0
8.516,1.19,2,0,0,0,0,0,0,0,1,0,0,1,0
8.804,1.235,2,0,0,0,0,0,0,0,1,0,0,1,0
9.91,1.4,3,0,0,0,0,0,0,0,1,0,0,1,0
7.634,1.606,3,1,0,0,0,0,0,0,1,1,0,1,0
5.97,1.239,2,1,0,0,0,0,0,0,1,1,0,1,0
7.675,1.615,3,1,0,0,0,0,0,0,1,1,0,1,0
5.702,1.18,2,1,0,0,0,0,0,0,1,1,0,1,0
6.21,1.292,2,1,0,0,0,0,0,0,1,1,0,1,0
2.52,0.9,2,1,1,0,1,1,0,1,1,1,0,1,0
3.304,1.18,3,1,1,0,1,1,0,1,1,1,0,1,0
3.01,1.075,3,1,1,0,1,1,0,1,1,1,0,1,0
2.8,1.0,2,1,1,0,1,1,0,1,1,1,0,1,0
2.464,0.88,2,1,1,0,1,1,0,1,1,1,0,1,0
5.557,1.185,2,1,1,1,1,0,0,0,1,1,0,0,0
11.9,2.54,3,1,1,1,1,0,0,0,1,1,0,0,0
